filepath,label
./dataset/SET2/asymmetricloop/EMD-51355_9GHF_2x3_4446.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-17653_8PFR_1x3_4368.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-15113_8A3D_1x2_4207.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-16563_8CCS_1x2_4654.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-16648_8CGN_4x5_362.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-17363_8P2F_1x3_4286.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-61076_9J1M_1x2_5612.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-14004_7QIZ_1x3_3538.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-15427_8AGX_4x5_321.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-16684_8CIV_1x2_4679.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-35411_8IFB_2x3_3831.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-12757_7O7Z_3x4_1380.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-16609_8CEH_1x2_4664.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-15272_8A98_1x5_497.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-17363_8P2F_2x3_3973.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-14990_7ZW0_1x3_3655.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-17365_8P2H_2x4_1635.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-26822_7UW1_1x2_4325.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-26821_7UVZ_1x2_4319.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-26818_7UVW_1x3_3775.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-14731_7ZHG_2x3_3268.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-15773_8AZW_1x4_2397.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-19428_8RQ0_1x3_4322.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-14004_7QIZ_1x5_396.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-29788_8G6Y_1x3_3841.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-28632_8EVP_2x4_1467.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-38629_8XSX_2x3_4050.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-39580_8YUR_1x2_5347.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-15712_8AYE_1x2_4239.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-40990_8T2X_1x4_2869.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-44097_9B24_1x2_5653.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-19429_8RQ2_2x3_4007.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-16082_8BIM_1x2_4603.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-43976_9AXV_1x3_4494.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-24740_7RYH_1x4_2156.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-16563_8CCS_2x4_1491.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-36180_8JDL_2x3_3754.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-17550_8P8N_1x2_5077.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-15488_8AKN_3x4_1626.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-33662_7Y7E_1x4_2541.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-48830_9N2B_2x3_4425.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-28643_8EWC_2x4_1485.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-51354_9GHE_3x4_2295.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-35020_8HTZ_1x3_4273.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-15175_8A5I_1x3_3661.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-18332_8QCQ_2x4_1628.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-29276_8FLE_3x4_1761.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-39579_8YUQ_2x3_4193.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-26651_7UOO_2x5_575.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-40992_8T2Z_1x2_5418.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-51356_9GHG_1x3_4772.mrc,asymmetricloop
./dataset/SET2/asymmetricloop/EMD-36180_8JDL_1x3_4064.mrc,asymmetricloop
