filepath,label
./dataset/SET1/asymmetricloop/EMD-15712_8AYE_1x3_3731.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-16127_8BN3_1x2_4772.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-17364_8P2G_2x4_1634.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-35020_8HTZ_1x2_4998.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-29787_8G6X_1x2_4285.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-44092_9B1Y_4x5_418.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-13241_7P7Q_1x4_2100.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-29787_8G6X_2x3_3377.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-35411_8IFB_2x4_1576.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-12756_7O7Y_3x4_1379.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-16684_8CIV_1x5_492.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-17364_8P2G_1x3_4291.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-16594_8CDR_1x4_2508.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-19638_8S1P_2x3_4027.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-18765_8QYX_2x5_794.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-48831_9N2C_2x4_1876.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-27869_8E3O_2x3_3538.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-19429_8RQ2_1x4_2679.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-17365_8P2H_1x2_5013.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-18320_8QBT_1x2_4987.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-43973_9AXU_2x4_1749.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-15272_8A98_3x5_118.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-24801_7S1H_1x3_3337.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-39456_8YOP_1x4_2722.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-15773_8AZW_3x4_1699.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-18332_8QCQ_2x3_3955.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-39580_8YUR_1x3_4513.mrc,asymmetricloop
./dataset/SET1/asymmetricloop/EMD-15793_8B0X_1x3_3684.mrc,asymmetricloop
